mealName,srcImg,kcal,carboHydrates,carboWithSugars,proteins,fats,saturatedFats,fiber,salt,LACTEO,VEGANO,CARNE,PESCADO,MARISCO,FRUTA,VEGETALES,LEGUMBRES,CEREALES,SEMILLAS,HUEVO,FRUTOS_SECOS,GLUTEN,ORIGEN_ANIMAL,DESAYUNO,MEDIO_DIA,ALMUERZO,MERIENDA,CENA,APERITIVOS,PRE_ENTRENO,APERITIVOS,GENERICO
galletas avena,img_123,472,62,21,8.3,20,5.1,5.5,1.5,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false
galletas 0% azucar annadido,img_124,437,63,4.5,8.8,14,0,5.1,0,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false
galletas  de espelta,img_125,428,60,2.1,9.6,18,8.1,8,0.9,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
tortitas de maiz,img_126,406,87,1,9,2,0.3,2.9,2.1,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false
tortitas de maiz con chocolate,img_127,498,66.8,28.1,6.4,21.7,13.6,2.1,0.08,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false
tortitas de  arroz,img_128,389,79,0.8,7.7,3.6,0.7,3.8,0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false
tortitas de arroz con chocolate,img_129,475,65,26,6.8,20,12,4.8,0,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,false,false
fiambre pechuga de pavo baja en sal,img_130,95,1,1,20,1,1,1,0,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false
fiambre pechuga de pavo,img_131,82,1.8,1.8,16,1.2,0.4,0.5,0,false,false,true,false,false,false,false,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false
fiambre salchichon de pavo,img_132,273,5,5,25,17,6.3,0,0,false,false,true,false,false,false,false,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false
fiambre pechuga de pavo 0% materia   grasa,img_133,70,1.3,1.3,15,0.5,0.1,0,4.75,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
fiambre lomo de pavo,img_134,103,10,1.8,11,2,0.8,0.1,0.1,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
tiras de pechuga de pollo al horno,img_135,107,0.6,0.6,23.4,1.2,0.4,0,4.5,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false
fiambre jamon de pavo,img_136,85,1.5,1.5,14,2.5,0.9,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
dados de pavo,img_137,76,1.3,1.3,16.5,0.5,0.3,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
tiras de pechuga de pollo al natural,img_138,107,0.6,0.6,23.4,1.2,0.4,0,4.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
pechuga de pollo braseada,img_139,84,1.3,0.4,16.9,1.2,0.4,0,4.75,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
fiambre mortadela de pavo,img_140,173,7.5,0.8,10.9,11,1.7,0,1.9,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,false,true,false,true,false,false,false,false
fiambre pechuga de pollo,img_141,84,1.3,1.3,16.9,1.2,0.4,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
fiambre jamon cocido,img_142,101,0.9,0.9,18.6,2.5,0.9,0,1.87,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false
fiambre jamon cocido braseado,img_143,98,2,2,19,1.5,0.7,0,0.1,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false
fiambre jamon cocido bajo en sal,img_144,109,1,1,19,3,1.2,1,4.25,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false
lacon cortado en lonchas,img_145,127,1.2,0.7,17,6,2.1,0,5.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
magro de cerdo cocido,img_146,161,0.5,0.5,18,9.7,3.8,0,1.6,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
bacon ahumado,img_147,260,6,2,14,20,7.2,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false
panceta sin corteza,img_148,333,0.4,0.4,23.1,26.6,10.6,0,4.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
salchichas cocidas frankfurt,img_149,201,5.2,0.5,11.5,14.9,4,0,0.1,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
mortadela,img_150,254,4,1,10,22,8,0,0,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false
mortadela con aceitunas,img_151,244,5.6,2.1,10.5,20,6,0,0,false,true,true,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false
